user_id,total_spending_idr,avg_txn_idr,median_txn_idr,max_txn_idr,txn_count,std_amount_idr,weekend_ratio,night_ratio,month_start_ratio,month_end_ratio,above_avg_ratio,spike_ratio,unique_categories,unique_merchants,active_months,fraud_ratio,avg_dist_merchant,spending_cov,impulse_score,cat_belanja_online,cat_elektronik,cat_fashion_pakaian,cat_hiburan,cat_investasi_asuransi,cat_kecantikan_perawat,cat_kesehatan,cat_kesehatan_kecantik,cat_makanan_minuman,cat_olahraga_gym,cat_pendidikan,cat_properti_renovasi,cat_pulsa_data,cat_restoran_kafe,cat_sembako_kebutuhan_,cat_transportasi,cat_travel_hotel,dominant_payment,gender,age,pendapatan_bulan,spending_ratio,segmen,segmen_label,kota,tier_kota,populasi_kota,cat_belanja_online_ratio,cat_elektronik_ratio,cat_fashion_pakaian_ratio,cat_hiburan_ratio,cat_investasi_asuransi_ratio,cat_kecantikan_perawat_ratio,cat_kesehatan_ratio,cat_kesehatan_kecantik_ratio,cat_makanan_minuman_ratio,cat_olahraga_gym_ratio,cat_pendidikan_ratio,cat_properti_renovasi_ratio,cat_pulsa_data_ratio,cat_restoran_kafe_ratio,cat_sembako_kebutuhan__ratio,cat_transportasi_ratio,cat_travel_hotel_ratio,cluster,spending_persona,persona_encoded
BUDU00001,1705500,63166.666666666664,48600.0,237500,27,48774.56777397891,0.25925925925925924,0.2222222222222222,0.14814814814814814,0.25925925925925924,0.0,0.037037037037037035,8,22,11,0.0,0.18355925925925926,0.7721567457621992,0.163,0,0,49500,420900,0,0,187100,0,254700,0,154100,0,100400,0,390900,147900,0,Gopay,P,37.0,1734027,0.774,D,Kelas D (Menengah Bawah),Desa Sejahtera,Desa,4100,0.0,0.0,0.029023746701846966,0.24678979771328055,0.0,0.0,0.10970389914980944,0.0,0.14934036939313985,0.0,0.09035473468191146,0.0,0.05886836704778657,0.0,0.22919964819700966,0.08671943711521547,0.0,1,Emotional Spender,0
BUDU00002,469100,20395.652173913044,18100.0,46800,23,12394.591131943935,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.391304347826087,0.0,0.043478260869565216,6,17,12,0.0,0.31996521739130435,0.6077075165949914,0.1043,0,0,0,0,0,0,43500,0,65700,0,46800,0,71300,0,189700,52100,0,Tunai,P,25.0,927277,0.853,E,Kelas E (Miskin),Desa Cikaret,Desa,2800,0.0,0.0,0.0,0.0,0.0,0.0,0.09273076103176295,0.0,0.14005542528245576,0.0,0.09976550842037946,0.0,0.15199317842677468,0.0,0.404391387763803,0.11106373907482413,0.0,0,Rational Spender,2
BUDU00003,9634300,160571.66666666666,119450.0,796300,60,136529.25816892946,0.36666666666666664,0.15,0.18333333333333332,0.15,0.016666666666666666,0.06666666666666667,9,41,12,0.016666666666666666,0.133975,0.8502699199875204,0.1867,2862300,0,999700,1923600,0,0,0,532400,1282500,0,173500,0,255800,0,763000,841500,0,Ovo,L,27.0,4824279,0.703,C,Kelas C (Menengah),Medan,Kota Besar,2400000,0.29709475519757533,0.0,0.10376467413304548,0.19966162565002127,0.0,0.0,0.0,0.05526089077566611,0.1331181300146352,0.0,0.018008573534143632,0.0,0.026550968933913205,0.0,0.07919620522508122,0.08734417653591854,0.0,1,Emotional Spender,0
BUDU00004,9710000,176545.45454545456,127100.0,737800,55,158396.97530101953,0.34545454545454546,0.16363636363636364,0.12727272727272726,0.2727272727272727,0.01818181818181818,0.10909090909090909,9,35,12,0.0,0.28318181818181815,0.8972022287905328,0.19,3538400,0,684400,1012900,0,0,0,386400,2539900,0,304100,0,141200,0,578400,524300,0,Gopay,L,43.0,6862528,0.653,C,Kelas C (Menengah),Bandung,Kota Besar,2500000,0.3644078269824923,0.0,0.07048403707518022,0.10431513903192585,0.0,0.0,0.0,0.039794026776519054,0.26157569515962925,0.0,0.03131822863027806,0.0,0.014541709577754892,0.0,0.059567456230690013,0.05399588053553038,0.0,1,Emotional Spender,0
BUDU00005,202000,18363.636363636364,13200.0,47300,11,13676.496095657887,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,4,7,8,0.0,0.21177272727272725,0.7447596883774097,0.1364,0,0,0,0,0,0,47300,0,0,0,0,0,2700,0,58800,93200,0,Gopay,L,32.0,927565,0.854,E,Kelas E (Miskin),Pekalongan,Kota Kecil,310000,0.0,0.0,0.0,0.0,0.0,0.0,0.23415841584158417,0.0,0.0,0.0,0.0,0.0,0.013366336633663366,0.0,0.29108910891089107,0.4613861386138614,0.0,0,Rational Spender,2
BUDU00006,39045400,685007.0175438597,601000.0,2517900,57,488692.1642286136,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.22807017543859648,0.40350877192982454,0.08771929824561403,10,35,12,0.0,0.25839122807017545,0.7134119092397818,0.2491,10179100,2429700,2251700,4276200,0,8583900,0,0,3623100,316600,0,0,0,3053900,0,2474400,1856800,Kartu Kredit,P,42.0,11245029,0.547,B,Kelas B (Menengah Atas),Tangerang,Metropolitan,2100000,0.26069908363085026,0.06222756073698822,0.05766876507860081,0.10951866288986667,0.0,0.21984407894399852,0.0,0.0,0.09279198061743509,0.008108509581154246,0.0,0.0,0.0,0.07821407899522095,0.0,0.06337238189389788,0.04755489763198738,1,Emotional Spender,0
BUDU00007,5334900,166715.625,146300.0,770000,32,151761.36851580616,0.1875,0.21875,0.15625,0.125,0.03125,0.0625,8,27,12,0.0,0.227271875,0.9103008102318313,0.1469,2443900,0,99300,382100,0,0,0,0,1137600,0,215200,0,195600,0,614900,246300,0,Gopay,P,34.0,4103996,0.687,C,Kelas C (Menengah),Tasikmalaya,Kota Kecil,700000,0.4580966840990459,0.0,0.018613282348310185,0.07162271082869408,0.0,0.0,0.0,0.0,0.21323736152505202,0.0,0.0403381506682412,0.0,0.036664229882472026,0.0,0.11525989240660556,0.04616768824157903,0.0,1,Emotional Spender,0
BUDU00008,56137800,561378.0,413350.0,3000000,100,481549.9956380333,0.21,0.19,0.16,0.2,0.25,0.08,10,51,12,0.0,0.230767,0.8577999060134763,0.1925,6658100,3916600,6044700,8065300,0,2202900,0,0,19023800,487800,0,0,0,3441400,0,2625900,3671300,Kartu Debit,P,43.0,7962580,0.562,B,Kelas B (Menengah Atas),Bandung,Kota Besar,2500000,0.11860279526450983,0.06976760756566877,0.10767611128330644,0.1436696842412777,0.0,0.03924093926017763,0.0,0.0,0.33887683521620016,0.00868933232153736,0.0,0.0,0.0,0.0613027229424737,0.0,0.046775969133097485,0.06539800277175094,1,Emotional Spender,0
BUDU00009,493400,27411.11111111111,19800.0,77800,18,23880.16378131068,0.4444444444444444,0.3333333333333333,0.05555555555555555,0.2777777777777778,0.0,0.16666666666666666,5,14,8,0.0,0.17823333333333335,0.8711855453254809,0.2806,0,0,0,0,0,0,0,0,118200,0,77800,0,62500,0,144600,90300,0,Tunai,L,44.0,1246290,0.96,E,Kelas E (Miskin),Bandung,Kota Besar,2500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23956222132144306,0.0,0.15768139440616133,0.0,0.12667207134171057,0.0,0.2930685042561816,0.18301580867450346,0.0,0,Rational Spender,2
BUDU00010,9009500,152703.38983050847,117800.0,665000,59,135531.88067007004,0.3050847457627119,0.15254237288135594,0.2542372881355932,0.3220338983050847,0.0,0.13559322033898305,8,39,11,0.0,0.2534593220338983,0.8875499150379191,0.1729,2329700,0,1782700,831400,0,0,0,665000,2259700,0,0,0,232000,0,597900,311100,0,Ovo,P,32.0,4710164,0.669,C,Kelas C (Menengah),Purwokerto,Kota Kecil,290000,0.258582607247905,0.0,0.19786891614407015,0.09228037071979577,0.0,0.0,0.0,0.07381097730173705,0.2508130306898274,0.0,0.0,0.0,0.02575059659248571,0.0,0.06636328320106555,0.03453021810311338,0.0,1,Emotional Spender,0
